id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,instrumentalness,loudness,liveness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,0.08,-4,0.12
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,0.75,-14,0.08
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,0.15,-3,0.18
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,0.80,-15,0.05
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,0.05,-3,0.10
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,0.92,-13,0.08
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,0.35,-6,0.22
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,0.60,-5,0.08
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,0.82,-14,0.06
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,0.12,-4,0.14
11,Digital Dreams,Synth Wave Collective,electronic,energetic,0.88,125,0.82,0.85,0.08,0.88,-4,0.05
12,Street Cypher,Urban Speaks,hip-hop,dark,0.72,92,0.38,0.58,0.45,0.08,-2,0.10
13,Moonlit Sonata,Classical Echo,classical,calm,0.22,60,0.68,0.15,0.95,0.98,-10,0.08
14,Island Vibes,Reggae Riddims,reggae,uplifting,0.65,88,0.78,0.72,0.68,0.25,-5,0.20
15,Autumn Leaves,Folk Wanderer,folk,melancholic,0.38,85,0.45,0.42,0.87,0.40,-7,0.30
16,Thunder Clash,Metal Fury,metal,aggressive,0.92,180,0.32,0.71,0.12,0.18,-1,0.15
17,Sabor Latino,Latin Fire,latin,playful,0.76,110,0.85,0.88,0.52,0.22,-3,0.25
18,Dreamscape,Ethereal Light,dreamy pop,dreamy,0.58,100,0.72,0.68,0.62,0.65,-8,0.12
